FIPS,State,County,Health_Outcomes_Z-Score_2010,Health_Outcomes_Rank_2010,Health_Factors_Z-Score_2010,Health_Factors_Rank_2010,Mortality_Z-Score_2010,Mortality_Rank_2010,Morbidity_Z-Score_2010,Morbidity_Rank_2010,Health_Behaviors_Z-Score_2010,Health_Behaviors_Rank_2010,Clinical_Care_Z-Score_2010,Clinical_Care_Rank_2010,Social_and_Economic Factors_Z-Score_2010,Social_and_Economic Factors_Rank_2010,Physical_Environment_Z-Score_2010,Physical_Environment_Rank_2010,Smoking_Z-Score_2010,Smoking_Rank_2010,Diet_and_Exercise_Z-Score_2010,Diet_and_Exercise_Rank_2010,Alcohol_Use_Z-Score_2010,Alcohol_Use_Rank_2010,Unsafe_Sex_Z-Score_2010,Unsafe_Sex_Rank_2010,Access_to_Care_Z-Score_2010,Access_to_Care_Rank_2010,Quality_of_Care_Z-Score_2010,Quality_of_Care_Rank_2010,Education_Z-Score_2010,Education_Rank_2010,Employment_Z-Score_2010,Employment_Rank_2010,Income_Z-Score_2010,Income_Rank_2010,Family_and_Social_Support_Z-Score_2010,Family_and_Social_Support_Rank_2010,Community_Safety_Z-Score_2010,Community_Safety_Rank_2010,Air_Quality_Z-Score_2010,Air_Quality_Rank_2010,Built_Environment_Z-Score_2010,Built_Environment_Rank_2010
36087,New York,Rockland,-1.04,8,-0.81,4,-0.80,5,-0.24,15,-0.35,4,-0.12,11,-0.34,6,-0.01,29,-0.19,1,-0.06,7,-0.07,5,-0.03,14,-0.09,10,-0.04,19,-0.12,7,-0.13,5,-0.04,17,-0.02,16,-0.03,17,0.03,48,-0.04,6
36089,New York,St. Lawrence,0.60,51,0.61,59,0.51,57,0.09,40,0.22,56,0.15,60,0.26,56,-0.02,23,0.04,43,0.17,61,0.03,47,-0.01,26,0.02,35,0.13,61,0.07,52,0.17,60,0.05,50,0.01,43,-0.03,14,-0.04,15,0.02,48
36091,New York,Saratoga,-1.18,2,-0.75,5,-0.76,6,-0.42,9,-0.12,14,-0.15,6,-0.50,3,0.01,41,-0.06,19,-0.02,24,0.00,27,-0.04,7,-0.05,15,-0.09,6,-0.08,9,-0.16,3,-0.16,2,-0.05,3,-0.05,7,0.02,45,0.00,32
36093,New York,Schenectady,0.19,37,-0.26,11,0.28,44,-0.09,23,-0.03,23,-0.17,3,-0.05,24,0.00,33,0.00,27,-0.03,23,-0.03,13,0.03,49,-0.10,8,-0.07,11,0.00,30,-0.08,14,-0.03,25,-0.03,12,0.09,57,0.00,39,0.00,30
36095,New York,Schoharie,-0.39,20,0.06,34,0.02,29,-0.41,10,-0.10,16,0.08,47,0.09,42,0.00,34,0.00,30,-0.06,11,0.00,29,-0.05,6,0.09,59,-0.02,26,0.05,43,0.13,53,-0.03,22,0.00,29,-0.05,4,-0.04,2,0.04,52
36097,New York,Schuyler,-1.05,7,0.16,40,-0.71,7,-0.34,13,-0.05,21,0.09,51,0.12,46,-0.01,30,0.00,30,-0.06,11,0.01,33,0.00,35,0.04,47,0.05,49,0.11,59,0.01,35,0.00,35,0.01,40,0.00,37,-0.04,2,0.04,51
36099,New York,Seneca,-0.17,26,0.16,42,-0.08,27,-0.10,21,0.23,57,-0.04,16,0.01,30,-0.03,16,0.00,30,0.20,62,0.03,49,0.01,43,0.05,52,-0.10,5,0.08,57,-0.03,25,-0.02,26,0.02,54,-0.04,10,-0.05,1,0.01,43
36101,New York,Steuben,0.53,48,0.38,52,0.25,42,0.28,52,0.33,60,0.03,35,0.09,41,-0.07,4,0.18,60,0.11,57,0.03,50,0.00,42,-0.02,20,0.06,51,-0.01,26,0.04,41,0.05,49,0.03,55,-0.02,27,-0.03,18,-0.04,8
36103,New York,Suffolk,-0.40,18,-0.53,8,-0.32,17,-0.07,25,-0.18,9,-0.03,24,-0.39,5,0.07,58,-0.06,17,-0.09,6,0.00,26,-0.02,18,-0.02,22,-0.01,30,-0.10,8,-0.11,12,-0.15,3,-0.02,21,-0.02,23,0.10,60,-0.02,18
36105,New York,Sullivan,1.50,61,0.57,58,1.29,62,0.21,49,0.13,50,0.12,56,0.28,59,0.04,51,0.13,57,-0.06,7,0.03,52,0.03,52,0.11,60,0.01,35,0.08,55,0.09,49,0.03,47,0.05,58,0.03,51,-0.03,23,0.07,60
36107,New York,Tioga,-0.63,15,-0.22,14,-0.59,9,-0.04,31,0.04,37,-0.04,17,-0.16,11,-0.07,5,-0.03,22,0.08,54,-0.01,24,-0.01,32,0.03,43,-0.08,8,0.05,45,-0.06,19,-0.07,8,-0.02,18,-0.06,1,-0.04,2,-0.03,16
36109,New York,Tompkins,-1.18,3,-0.83,3,-0.88,2,-0.30,14,-0.30,5,0.02,33,-0.49,4,-0.06,6,-0.17,2,-0.01,25,-0.06,6,-0.05,2,0.14,61,-0.13,1,-0.15,4,-0.22,1,-0.03,24,-0.05,5,-0.05,8,-0.04,2,-0.02,22
36111,New York,Ulster,0.04,33,0.02,30,0.04,32,0.01,33,0.11,44,-0.02,28,-0.13,13,0.05,53,0.08,48,0.05,42,0.01,38,-0.02,20,-0.01,24,0.00,32,-0.02,18,-0.04,20,-0.03,21,-0.04,7,0.00,45,-0.01,34,0.06,57
36113,New York,Warren,-0.70,14,-0.14,19,-0.19,21,-0.51,7,0.01,30,-0.11,12,-0.07,22,0.03,45,0.05,44,-0.05,14,0.02,44,-0.01,27,-0.06,14,-0.05,17,-0.01,25,-0.01,32,-0.04,15,0.00,27,0.00,37,-0.02,26,0.05,56
36115,New York,Washington,0.32,44,0.13,36,0.34,46,-0.02,32,0.16,53,0.04,38,-0.05,25,-0.02,21,0.10,54,0.05,42,0.02,39,-0.01,31,0.05,50,-0.01,27,0.12,61,-0.04,20,-0.03,19,-0.06,1,-0.03,16,-0.01,33,-0.01,28
36117,New York,Wayne,-0.04,28,0.00,27,0.06,34,-0.10,20,0.12,46,-0.03,25,-0.02,28,-0.08,1,0.09,50,-0.01,27,0.03,46,0.01,46,0.02,38,-0.05,16,0.03,40,0.01,35,-0.04,16,0.01,48,-0.03,18,-0.03,25,-0.05,5
36119,New York,Westchester,-0.91,9,-0.95,2,-0.85,3,-0.06,28,-0.53,1,-0.13,8,-0.30,7,0.01,40,-0.17,3,-0.28,2,-0.07,3,-0.02,25,-0.13,3,0.00,34,-0.14,5,-0.13,5,-0.04,18,0.00,34,0.00,44,0.04,52,-0.03,12
